Ensembl Gene ID	Associated Gene Name	Description
ENSDARG00000101504	CR628395.1	
ENSDARG00000100928	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000104662	SNORA30	Small nucleolar RNA SNORA30/SNORA37 family [Source:RFAM;Acc:RF00415]
ENSDARG00000082380	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000100228	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000086140	CR391994.1	
ENSDARG00000007807	cyth3a	cytohesin 3a [Source:ZFIN;Acc:ZDB-GENE-120612-1]
ENSDARG00000084399	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000039851	dhdds	dehydrodolichyl diphosphate synthase [Source:ZFIN;Acc:ZDB-GENE-040426-2236]
ENSDARG00000084166	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000090825	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000086993	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000099574	CABZ01030016.1	
ENSDARG00000101837	dre-mir-430c-1	dre-mir-430c-1 [Source:miRBase;Acc:MI0001529]
ENSDARG00000081067	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000102800	CABZ01081752.2	
ENSDARG00000104416	si:dkey-16p6.1	si:dkey-16p6.1 [Source:ZFIN;Acc:ZDB-GENE-081103-43]
ENSDARG00000082142	CR753862.1	
ENSDARG00000036299	nucb2a	nucleobindin 2a [Source:ZFIN;Acc:ZDB-GENE-030826-14]
ENSDARG00000098819	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000081749	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000100775	CABZ01048971.1	
ENSDARG00000042793	tpp1	tripeptidyl peptidase I [Source:ZFIN;Acc:ZDB-GENE-030131-6654]
ENSDARG00000090226	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000104680	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000098517	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000085630	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000027564	CABZ01052588.1	
ENSDARG00000020876	pdk2a	pyruvate dehydrogenase kinase, isozyme 2a [Source:ZFIN;Acc:ZDB-GENE-120910-1]
ENSDARG00000085134	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000090510	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000076943	lhfpl4b	lipoma HMGIC fusion partner-like 4b [Source:ZFIN;Acc:ZDB-GENE-110216-4]
ENSDARG00000102288	C17H2orf71 (2 of 2)	chromosome 2 open reading frame 71 [Source:HGNC Symbol;Acc:HGNC:34383]
ENSDARG00000046091	si:ch211-283g2.1	si:ch211-283g2.1 [Source:ZFIN;Acc:ZDB-GENE-060531-57]
ENSDARG00000083693	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000099856	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000081098	mir196d	microRNA 196d [Source:ZFIN;Acc:ZDB-GENE-050712-2]
ENSDARG00000101351	si:dkey-16p6.1	si:dkey-16p6.1 [Source:ZFIN;Acc:ZDB-GENE-081103-43]
ENSDARG00000081540	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000104864	klhdc2	kelch domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-070410-69]
ENSDARG00000077839	DHX30	DEAH (Asp-Glu-Ala-His) box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]
ENSDARG00000083433	FP102461.1	
ENSDARG00000096756	si:ch211-196c10.13	si:ch211-196c10.13 [Source:ZFIN;Acc:ZDB-GENE-130603-71]
ENSDARG00000091009	si:ch211-28p3.4	si:ch211-28p3.4 [Source:ZFIN;Acc:ZDB-GENE-130603-54]
ENSDARG00000101676	KLHL28	kelch-like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741]
ENSDARG00000017261	gdpd1	glycerophosphodiester phosphodiesterase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040822-22]
ENSDARG00000062674	btbd10a	BTB (POZ) domain containing 10a [Source:ZFIN;Acc:ZDB-GENE-070410-41]
ENSDARG00000095821	si:dkey-122a22.2	si:dkey-122a22.2 [Source:ZFIN;Acc:ZDB-GENE-110411-93]
ENSDARG00000042245	myl13	myosin, light chain 13 [Source:ZFIN;Acc:ZDB-GENE-040426-1593]
ENSDARG00000083122	dre-mir-190b	dre-mir-190b [Source:miRBase;Acc:MI0004764]
ENSDARG00000104804	si:ch211-238e22.8	si:ch211-238e22.8 [Source:ZFIN;Acc:ZDB-GENE-050419-231]
ENSDARG00000080340	CR933818.1	
ENSDARG00000042054	zgc:171971	zgc:171971 [Source:ZFIN;Acc:ZDB-GENE-070928-37]
ENSDARG00000062248	ptpn21	protein tyrosine phosphatase, non-receptor type 21 [Source:ZFIN;Acc:ZDB-GENE-080102-4]
ENSDARG00000082317	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000042716	tmem68	transmembrane protein 68 [Source:ZFIN;Acc:ZDB-GENE-040426-1267]
ENSDARG00000099863	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000097163	si:dkey-182i1.1	si:dkey-182i1.1 [Source:ZFIN;Acc:ZDB-GENE-131127-454]
ENSDARG00000068483	neto1	neuropilin (NRP) and tolloid (TLL)-like 1 [Source:ZFIN;Acc:ZDB-GENE-070912-592]
ENSDARG00000083454	SNORA23	Small nucleolar RNA SNORA23 [Source:RFAM;Acc:RF00319]
ENSDARG00000104630	CABZ01057358.4	
ENSDARG00000057973	dph1	diphthamide biosynthesis 1 [Source:ZFIN;Acc:ZDB-GENE-050417-411]
ENSDARG00000045172	minpp1b	multiple inositol-polyphosphate phosphatase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-888]
ENSDARG00000005827	eif2s1a	eukaryotic translation initiation factor 2, subunit 1 alpha a [Source:ZFIN;Acc:ZDB-GENE-030131-526]
ENSDARG00000068263	csf1b	colony stimulating factor 1b (macrophage) [Source:ZFIN;Acc:ZDB-GENE-061215-106]
ENSDARG00000087258	ypel2b	yippee-like 2b [Source:ZFIN;Acc:ZDB-GENE-110419-2]
ENSDARG00000094252	si:dkey-169i5.2	si:dkey-169i5.2 [Source:ZFIN;Acc:ZDB-GENE-060531-75]
ENSDARG00000088389	CABZ01092285.1	
ENSDARG00000067950	zcchc2	zinc finger, CCHC domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-070912-269]
ENSDARG00000095304	si:ch211-207c6.2	si:ch211-207c6.2 [Source:ZFIN;Acc:ZDB-GENE-060526-90]
ENSDARG00000057826	si:ch73-61d6.3	si:ch73-61d6.3 [Source:ZFIN;Acc:ZDB-GENE-091204-109]
ENSDARG00000099197	actc1b	actin, alpha, cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]
ENSDARG00000075565	lzts1	leucine zipper, putative tumor suppressor 1 [Source:ZFIN;Acc:ZDB-GENE-081104-431]
ENSDARG00000010556	MMP25 (1 of 2)	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]
ENSDARG00000040884	mxi1	max interactor 1, dimerization protein [Source:ZFIN;Acc:ZDB-GENE-990415-151]
ENSDARG00000076735	si:dkey-193c22.2	si:dkey-193c22.2 [Source:ZFIN;Acc:ZDB-GENE-070705-337]
ENSDARG00000013058	ascc2	activating signal cointegrator 1 complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1223]
ENSDARG00000098550	WNK4 (2 of 2)	WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]
ENSDARG00000105154	creg1	cellular repressor of E1A-stimulated genes 1 [Source:ZFIN;Acc:ZDB-GENE-070112-2042]
ENSDARG00000084123	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000026990	klhl6	kelch-like family member 6 [Source:ZFIN;Acc:ZDB-GENE-030616-325]
ENSDARG00000059000	CU694226.1	
ENSDARG00000098366	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000070626	cacng8b	calcium channel, voltage-dependent, gamma subunit 8b [Source:ZFIN;Acc:ZDB-GENE-100921-72]
ENSDARG00000040137	jdp2a	Jun dimerization protein 2a [Source:ZFIN;Acc:ZDB-GENE-131127-459]
ENSDARG00000037997	tubb5	tubulin, beta 5 [Source:ZFIN;Acc:ZDB-GENE-031110-4]
ENSDARG00000085921	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000102458	hip1rb	huntingtin interacting protein 1 related b [Source:ZFIN;Acc:ZDB-GENE-070209-59]
ENSDARG00000013134	CABZ01071407.1	
ENSDARG00000090968	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000080641	dre-mir-10b-1	dre-mir-10b-1 [Source:miRBase;Acc:MI0001364]
ENSDARG00000100100	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000062297	soat1	sterol O-acyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-081105-177]
ENSDARG00000103585	BX677668.1	
ENSDARG00000103264	DCDC2C	doublecortin domain containing 2C [Source:HGNC Symbol;Acc:HGNC:32696]
ENSDARG00000083886	dre-mir-2196	dre-mir-2196 [Source:miRBase;Acc:MI0010846]
ENSDARG00000071683	zfr2	zinc finger RNA binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-070705-184]
ENSDARG00000084720	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000084966	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000094295	si:dkey-4i23.7	si:dkey-4i23.7 [Source:ZFIN;Acc:ZDB-GENE-070912-545]
ENSDARG00000101173	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000062080	shc2	SHC (Src homology 2 domain containing) transforming protein 2 [Source:ZFIN;Acc:ZDB-GENE-050208-666]
ENSDARG00000104313	FP102889.1	
ENSDARG00000092644	ago1	argonaute RISC catalytic component 1 [Source:ZFIN;Acc:ZDB-GENE-110606-3]
ENSDARG00000095741	ddx41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 [Source:ZFIN;Acc:ZDB-GENE-030131-1927]
ENSDARG00000070964	si:rp71-15k1.1	si:rp71-15k1.1 [Source:ZFIN;Acc:ZDB-GENE-030131-1113]
ENSDARG00000087223	SNORD53_SNORD92	Small nucleolar RNA SNORD53/SNORD92 [Source:RFAM;Acc:RF00325]
ENSDARG00000030887	phf23a	PHD finger protein 23a [Source:ZFIN;Acc:ZDB-GENE-050320-67]
ENSDARG00000102898	MTF1	metal-regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428]
ENSDARG00000038787	tmub1	transmembrane and ubiquitin-like domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2504]
ENSDARG00000085735	BX664750.3	
ENSDARG00000099050	CR847822.1	
ENSDARG00000102665	CABZ01033180.1	
ENSDARG00000080667	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000096889	si:ch211-173b16.4	si:ch211-173b16.4 [Source:ZFIN;Acc:ZDB-GENE-131127-611]
ENSDARG00000090534	TMBIM1 (2 of 2)	transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]
ENSDARG00000079375	CU104698.1	
ENSDARG00000081153	CABZ01053286.1	
ENSDARG00000100020	pim1	Pim-1 proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-061013-139]
ENSDARG00000102723	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000098553	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000100749	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000102077	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000104647	surf4	surfeit gene 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1426]
ENSDARG00000079964	dlx2a	distal-less homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-980526-212]
ENSDARG00000101649	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]
ENSDARG00000054271	cdkn1bb	cyclin-dependent kinase inhibitor 1Bb [Source:ZFIN;Acc:ZDB-GENE-030521-13]
ENSDARG00000099650	fgd	faciogenital dysplasia [Source:ZFIN;Acc:ZDB-GENE-000517-1]
ENSDARG00000093211	si:dkey-253e1.1	si:dkey-253e1.1 [Source:ZFIN;Acc:ZDB-GENE-100922-211]
ENSDARG00000080664	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000101462	SETDB2	SET domain, bifurcated 2 [Source:HGNC Symbol;Acc:HGNC:20263]
ENSDARG00000080777	ACA64	Small nucleolar RNA ACA64 [Source:RFAM;Acc:RF01225]
ENSDARG00000098591	tubb2b	tubulin, beta 2b [Source:ZFIN;Acc:ZDB-GENE-030131-722]
ENSDARG00000102388	FARP2	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
ENSDARG00000083967	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000105032	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000029439	atp2a2a	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2a [Source:ZFIN;Acc:ZDB-GENE-040426-702]
ENSDARG00000098362	CABZ01081748.1	
ENSDARG00000098942	rp9	retinitis pigmentosa 9 (autosomal dominant) [Source:ZFIN;Acc:ZDB-GENE-041114-42]
ENSDARG00000041858	ren	renin [Source:ZFIN;Acc:ZDB-GENE-040630-3]
ENSDARG00000078058	dip2a	disco-interacting protein 2 homolog A [Source:ZFIN;Acc:ZDB-GENE-091204-2]
ENSDARG00000085059	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000011999	ybey	ybeY metallopeptidase [Source:ZFIN;Acc:ZDB-GENE-030131-437]
ENSDARG00000094616	zgc:113984	zgc:113984 [Source:ZFIN;Acc:ZDB-GENE-050626-82]
ENSDARG00000091870	si:rp71-29l5.1	si:rp71-29l5.1 [Source:ZFIN;Acc:ZDB-GENE-070912-701]
ENSDARG00000074802	cflarb	CASP8 and FADD-like apoptosis regulator b [Source:ZFIN;Acc:ZDB-GENE-091204-464]
ENSDARG00000078172	PTGFRN (2 of 2)	prostaglandin F2 receptor inhibitor [Source:HGNC Symbol;Acc:HGNC:9601]
ENSDARG00000099464	FAM19A2	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2 [Source:HGNC Symbol;Acc:HGNC:21589]
ENSDARG00000103331	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000101195	cyp1c1	cytochrome P450, family 1, subfamily C, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-050522-501]
ENSDARG00000005015	TSPY2	testis specific protein, Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23924]
ENSDARG00000017542	fgf1a	fibroblast growth factor 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1729]
ENSDARG00000100425	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000074858	stard7	StAR-related lipid transfer (START) domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-030131-2310]
ENSDARG00000104997	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000101661	ulk3	unc-51 like kinase 3 [Source:ZFIN;Acc:ZDB-GENE-070410-33]
ENSDARG00000062465	pgap1	post-GPI attachment to proteins 1 [Source:ZFIN;Acc:ZDB-GENE-090313-216]
ENSDARG00000095522	si:dkey-71b5.3	si:dkey-71b5.3 [Source:ZFIN;Acc:ZDB-GENE-100922-91]
ENSDARG00000058853	SASH1 (2 of 2)	SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]
ENSDARG00000037183	FAM46A (1 of 2)	family with sequence similarity 46, member A [Source:HGNC Symbol;Acc:HGNC:18345]
ENSDARG00000026417	ccr12b.2	chemokine (C-C motif) receptor 12b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070301-2]
ENSDARG00000102131	CR388095.1	
ENSDARG00000104236	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000104272	BX465200.1	
ENSDARG00000082229	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000083310	dre-mir-146a	dre-mir-146a [Source:miRBase;Acc:MI0002012]
ENSDARG00000104723	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000021305	slc30a2	solute carrier family 30 (zinc transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-041014-347]
ENSDARG00000069025	si:ch211-283g2.2	si:ch211-283g2.2 [Source:ZFIN;Acc:ZDB-GENE-060526-151]
ENSDARG00000099042	C5H9orf117	chromosome 9 open reading frame 117 [Source:HGNC Symbol;Acc:HGNC:27843]
ENSDARG00000101386	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000102390	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000087759	cnih4	cornichon family AMPA receptor auxiliary protein 4 [Source:ZFIN;Acc:ZDB-GENE-030131-868]
ENSDARG00000090792	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000098611	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000083500	dre-mir-30e-2	dre-mir-30e-2 [Source:miRBase;Acc:MI0001950]
ENSDARG00000043802	ms4a17a.9	membrane-spanning 4-domains, subfamily A, member 17A.9 [Source:ZFIN;Acc:ZDB-GENE-050320-79]
ENSDARG00000075385	TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:HGNC:30740]
ENSDARG00000104124	znf1069	zinc finger protein 1069 [Source:ZFIN;Acc:ZDB-GENE-071004-89]
ENSDARG00000092515	si:ch211-283g2.2	si:ch211-283g2.2 [Source:ZFIN;Acc:ZDB-GENE-060526-151]
ENSDARG00000071059	gtpbp2	GTP binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-050208-373]
ENSDARG00000099997	cox20	COX20 cytochrome c oxidase assembly factor [Source:ZFIN;Acc:ZDB-GENE-040718-467]
ENSDARG00000104696	apooa	apolipoprotein O, a [Source:ZFIN;Acc:ZDB-GENE-031118-91]
ENSDARG00000101279	ndr2	nodal-related 2 [Source:ZFIN;Acc:ZDB-GENE-990415-181]
ENSDARG00000041729	sntb1	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1) [Source:ZFIN;Acc:ZDB-GENE-040704-13]
ENSDARG00000033963	nitr1j_2	novel immune-type receptor 1j (nitr1j), mRNA [Source:RefSeq mRNA;Acc:NM_001011881]
ENSDARG00000091165	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000079946	sqlea	squalene epoxidase a [Source:ZFIN;Acc:ZDB-GENE-071004-98]
ENSDARG00000029290	stx11b.1	syntaxin 11b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1893]
ENSDARG00000099826	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000091164	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000042577	batf3	basic leucine zipper transcription factor, ATF-like 3 [Source:ZFIN;Acc:ZDB-GENE-041014-356]
ENSDARG00000079369	SGPP1 (2 of 2)	sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720]
ENSDARG00000053803	klhl43	kelch-like family member 43 [Source:ZFIN;Acc:ZDB-GENE-141212-285]
ENSDARG00000062972	hip1	huntingtin interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-010328-15]
ENSDARG00000100924	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000057942	glt8d2	glycosyltransferase 8 domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-041210-98]
ENSDARG00000044038	zbtb2a	zinc finger and BTB domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-040426-726]
ENSDARG00000101489	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000100268	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000076070	DLGAP2 (2 of 3)	discs, large (Drosophila) homolog-associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]
ENSDARG00000099750	si:dkey-288d17.1	si:dkey-288d17.1 [Source:ZFIN;Acc:ZDB-GENE-131121-263]
ENSDARG00000054313	si:ch211-14a17.6	si:ch211-14a17.6 [Source:ZFIN;Acc:ZDB-GENE-030616-589]
ENSDARG00000087106	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000028912	si:dkey-10h3.2	si:dkey-10h3.2 [Source:ZFIN;Acc:ZDB-GENE-060503-142]
ENSDARG00000101416	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000070553	rnmt	RNA (guanine-7-) methyltransferase [Source:ZFIN;Acc:ZDB-GENE-041008-25]
ENSDARG00000092983	si:dkey-204h11.12	si:dkey-204h11.12 [Source:ZFIN;Acc:ZDB-GENE-070705-366]
ENSDARG00000101773	CU570800.1	
ENSDARG00000104452	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000105282	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000087867	SLC2A13 (2 of 2)	solute carrier family 2 (facilitated glucose transporter), member 13 [Source:HGNC Symbol;Acc:HGNC:15956]
ENSDARG00000031658	si:ch211-207d6.2	si:ch211-207d6.2 [Source:ZFIN;Acc:ZDB-GENE-070912-185]
ENSDARG00000091787	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000098631	DST (1 of 3)	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]
ENSDARG00000098917	CR790365.1	
ENSDARG00000091792	akap12a	A kinase (PRKA) anchor protein 12a [Source:ZFIN;Acc:ZDB-GENE-110310-3]
ENSDARG00000102595	si:dkey-250k10.1	si:dkey-250k10.1 [Source:ZFIN;Acc:ZDB-GENE-081103-24]
ENSDARG00000087817	si:dkey-30g5.1	si:dkey-30g5.1 [Source:ZFIN;Acc:ZDB-GENE-091116-100]
ENSDARG00000086247	zgc:171781	zgc:171781 [Source:ZFIN;Acc:ZDB-GENE-080305-9]
ENSDARG00000067713	snx18a	sorting nexin 18a [Source:ZFIN;Acc:ZDB-GENE-070705-339]
ENSDARG00000044532	nr4a2b	nuclear receptor subfamily 4, group A, member 2b [Source:ZFIN;Acc:ZDB-GENE-040718-103]
ENSDARG00000096520	si:ch211-207d24.1	si:ch211-207d24.1 [Source:ZFIN;Acc:ZDB-GENE-121214-242]
ENSDARG00000096366	ighj2-3	ighj2-3 [Source:ZFIN;Acc:ZDB-GENE-041001-94]
ENSDARG00000043173	CELA1 (4 of 7)	chymotrypsin-like elastase family, member 1 [Source:HGNC Symbol;Acc:HGNC:3308]
ENSDARG00000059305	tmem37	transmembrane protein 37 [Source:ZFIN;Acc:ZDB-GENE-040426-2208]
ENSDARG00000089362	grn1	granulin 1 [Source:ZFIN;Acc:ZDB-GENE-060103-1]
ENSDARG00000097108	si:dkey-265j8.3	si:dkey-265j8.3 [Source:ZFIN;Acc:ZDB-GENE-131127-55]
ENSDARG00000091645	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000102361	BX890562.1	
ENSDARG00000101550	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000088932	si:dkey-240e12.6	si:dkey-240e12.6 [Source:ZFIN;Acc:ZDB-GENE-050208-367]
ENSDARG00000098393	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000101766	ptmab	prothymosin, alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-8681]
ENSDARG00000083992	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000020024	fam151b	family with sequence similarity 151, member B [Source:ZFIN;Acc:ZDB-GENE-040801-38]
ENSDARG00000027397	vangl2	VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]
ENSDARG00000099478	hs2st1a	heparan sulfate 2-O-sulfotransferase 1a [Source:ZFIN;Acc:ZDB-GENE-070112-2312]
ENSDARG00000095230	si:ch211-12h2.5	si:ch211-12h2.5 [Source:ZFIN;Acc:ZDB-GENE-070705-28]
ENSDARG00000100221	si:ch211-22k7.1	si:ch211-22k7.1 [Source:ZFIN;Acc:ZDB-GENE-071003-1]
ENSDARG00000074734	msl1a	male-specific lethal 1 homolog a (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-8168]
ENSDARG00000100239	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000096046	si:ch211-209p16.4	si:ch211-209p16.4 [Source:ZFIN;Acc:ZDB-GENE-110914-88]
ENSDARG00000096273	si:dkey-3n22.9	si:dkey-3n22.9 [Source:ZFIN;Acc:ZDB-GENE-120215-95]
ENSDARG00000082006	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000102122	NEK9	NIMA-related kinase 9 [Source:HGNC Symbol;Acc:HGNC:18591]
ENSDARG00000099494	ZNF70 (7 of 15)	zinc finger protein 70 [Source:HGNC Symbol;Acc:HGNC:13140]
ENSDARG00000059746	plod1a	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3165]
ENSDARG00000088535	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000092143	ank1a	ankyrin 1, erythrocytic a [Source:ZFIN;Acc:ZDB-GENE-041010-44]
ENSDARG00000092539	si:ch211-207d6.4	si:ch211-207d6.4 [Source:ZFIN;Acc:ZDB-GENE-070912-186]
ENSDARG00000086421	im:7136729	im:7136729 [Source:ZFIN;Acc:ZDB-GENE-041111-14]
ENSDARG00000098763	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000094670	si:dkey-270e21.7	si:dkey-270e21.7 [Source:ZFIN;Acc:ZDB-GENE-050208-798]
ENSDARG00000101016	dre-mir-430a-2	dre-mir-430a-2 [Source:miRBase;Acc:MI0002111]
ENSDARG00000002877	reps1	RALBP1 associated Eps domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9536]
ENSDARG00000095103	si:ch211-285d14.1	si:ch211-285d14.1 [Source:ZFIN;Acc:ZDB-GENE-050420-88]
ENSDARG00000096386	ighv9-3	immunoglobulin heavy variable 9-3 [Source:ZFIN;Acc:ZDB-GENE-040514-32]
ENSDARG00000092421	si:ch1073-394i4.1	si:ch1073-394i4.1 [Source:ZFIN;Acc:ZDB-GENE-100922-74]
ENSDARG00000029071	creld2	cysteine-rich with EGF-like domains 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1626]
